First Trial Time,Second Trial Time,First Trial Holes,Second Trial Holes,Avg Times,,,,
126.8,34.74,56,8,78.70175,29.4175,,163.936125,105.127125
7.5,4.433,3,3,88.75225,20.4965,,178.3816914,132.2300077
77.767,24.997,56,22,44.09175,41.42575,,,
102.74,53.5,64,29,127.4,18.34725,,,
90.173,27.327,18,3,111.43325,178.6165,,,
223.733,25.666,46,9,300.85875,282.008,,,
30.87,20.493,21,12,189.316,105.20075,,,
10.233,8.5,5,3,223.51625,140.83325,,,
56.5,39.67,14,7,320.283,120.50775,,,
20.667,96.633,15,23,155.00825,114.418,,,
11.567,3.4,3,3,43.809,98.71675,,,
87.633,26,19,10,262.87425,124.75,,,
166.567,7.967,53,3,227.94125,158.1585,,,
161.7,11.222,21,5,296.008,109.09175,,,
74.766,42.5,31,11,54.9,78.97475,,,
106.567,11.7,80,4,81.5,28.73325,,,
79.867,245.333,7,5,167.3245,125.38325,,,
181,447.466,20,24,73.69975,35.75,,,
82.633,14.334,25,5,,,,,
102.233,7.333,4,3,,,,,
767.466,536.866,90,21,,,,,
238.466,479.266,48,73,,,,,
64.47,15.133,15,2,,,,,
133.033,96.767,8,12,,,,,
291.399,158.733,1,6,,,,,
189.166,121.434,2,4,,,,,
133,33.133,26,5,,,,,
143.699,107.503,7,5,,,,,
279.733,308.1,5,16,,,,,
470.933,65.066,10,6,,,,,
80.666,36.134,8,7,,,,,
62.733,154.033,9,8,,,,,
901.465,234.599,30,7,,168.3348,99.4484,,
197.533,86.133,12,24,,206.585801,84.41199683,,
163.4,93.733,27,23,,,,,
18.734,67.566,1,12,,,,,
118.7,199.633,36,18,,,,,
166.167,192.166,23,12,,,,,
126.833,6.633,25,3,,,,,
208.333,59.24,21,5,,,,,
27.07,5.3,4,1,,,,,
31.866,245.567,7,8,,,,,
6.6,7.767,1,3,,,,,
109.7,136.233,4,14,,,,,
837.333,129.167,11,2,,,,,
152.6,269.066,6,35,,,,,
51.334,15.067,9,5,,,,,
10.23,85.7,3,5,,,,,
218.666,272.2,15,17,,,,,
546.266,193.367,7,15,,,,,
85.366,123.767,18,6,,,,,
61.467,43.3,8,5,,,,,
216.167,142.267,29,15,,,,,
369.066,144.267,50,17,,,,,
23.533,11.7,1,4,,,,,
575.266,138.133,21,7,,,,,
34.166,34.5,4,4,,,,,
36.5,97.433,4,14,,,,,
6.5,3.833,1,2,,,,,
142.434,180.133,9,14,,,,,
24.667,4.4,1,3,,,,,
38.4,42.266,9,5,,,,,
160.866,46.467,6,10,,,,,
102.067,21.8,7,1,,,,,
274.066,79.233,48,4,,,,,
8.266,4.567,2,3,,,,,
240.033,153.9,12,8,,,,,
146.933,263.833,22,9,,,,,
141.7,12.367,10,1,,,,,
100.733,111.1,19,13,,,,,
46.1,15.167,14,7,,,,,
6.266,4.366,1,1,,,,,
